a      l_a  b      l_b  c       N
-27983  -33  17477  -16  1351327  1000 
-27534  -33  17237  -16  1351592  1000 
-27093  -33  17049  -16  1351853  1000 
-26661  -33  16854  -16  1352112  1000 
-26238  -33  16653  -16  1352367  1000 
-25823  -33  16450  -16  1352619  1000 
-25416  -33  32497  -17  1352868  1000 
-25017  -33  32103  -17  1353113  1000 
-24625  -33  31723  -17  1353356  1000 
-24241  -33  31364  -17  1353597  1000 
-23865  -33  31029  -17  1353834  1000 
-23496  -33  30598  -17  1354068  1000 
-23133  -33  30202  -17  1354300  1000 
-22778  -33  29851  -17  1354529  1000 
-22429  -33  29547  -17  1354755  1000 
-22087  -33  29166  -17  1354979  1000 
-21751  -33  28844  -17  1355200  1000 
-21422  -33  28586  -17  1355419  1000 
-21099  -33  28265  -17  1355635  1000 
-20782  -33  27887  -17  1355848  1000 
-20471  -33  27588  -17  1356060  1000 
-20163  -33  27241  -17  1356268  1000 
-26615  -31  26976  -17  1356475  1000 
-25877  -31  25348  -17  1356674  1000 
-25156  -31  23736  -17  1356860  1000 
-24500  -31  22183  -17  1357035  1000 
-23895  -31  20727  -17  1357199  1000 
-23338  -31  19274  -17  1357351  1000 
-22828  -31  17856  -17  1357492  1000 
-22361  -31  16501  -17  1357622  1000 
-21937  -31  30214  -18  1357742  1000 
-21554  -31  27395  -18  1357851  1000 
-21210  -31  24852  -18  1357950  1000 
-20904  -31  22363  -18  1358040  1000 
-20634  -31  19700  -18  1358119  1000 
-20401  -31  17156  -18  1358189  1000 
-20202  -31  29517  -19  1358250  1000 
-20038  -31  24532  -19  1358301  1000 
-19907  -31  19393  -19  1358342  1000 
-19809  -31  29308  -20  1358374  1000 
-19751  -31  19621  -20  1358397  1000 
-19702  -31  19484  -21  1358411  1000 
